"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2"
12,250;73,73;75,19;72,49;12,250;77,19;80,65;77,26
12,300;73,73;75,19;72,48;12,300;77,19;80,65;77,27
12,350;73,73;75,19;72,49;12,350;77,19;80,65;77,26
12,400;73,73;75,19;72,48;12,400;77,19;80,65;77,26
12,450;73,73;75,19;72,48;12,450;77,19;80,65;77,26
12,500;73,73;75,19;72,48;12,500;77,19;80,65;77,26
12,550;73,72;75,19;72,48;12,550;77,19;80,65;77,26
12,600;73,73;75,19;72,48;12,600;77,18;80,65;77,26
12,650;73,73;75,19;72,48;12,650;77,19;80,65;77,26
12,700;73,73;75,18;72,47;12,700;77,18;80,65;77,26
12,750;73,72;75,19;72,48;12,750;77,18;80,65;77,25
12,800;73,72;75,19;72,47;12,800;77,18;80,65;77,25
12,850;73,72;75,18;72,48;12,850;77,18;80,65;77,25
12,900;73,72;75,18;72,48;12,900;77,18;80,65;77,25
12,950;73,72;75,18;72,47;12,950;77,18;80,65;77,25
13,000;73,72;75,18;72,47;13,000;77,17;80,65;77,25
13,050;73,72;75,18;72,47;13,050;77,18;80,65;77,25
13,100;73,72;75,18;72,47;13,100;77,18;80,65;77,25
13,150;73,72;75,18;72,47;13,150;77,17;80,64;77,25
13,200;73,72;75,18;72,47;13,200;77,17;80,65;77,24
13,250;73,72;75,18;72,47;13,250;77,17;80,65;77,25
13,300;73,72;75,17;72,47;13,300;77,17;80,65;77,24
13,350;73,71;75,17;72,47;13,350;77,17;80,65;77,24
13,400;73,72;75,17;72,47;13,400;77,17;80,65;77,24
13,450;73,71;75,17;72,47;13,450;77,17;80,65;77,24
13,500;73,72;75,17;72,47;13,500;77,16;80,65;77,24
13,550;73,71;75,17;72,47;13,550;77,16;80,64;77,24
13,600;73,71;75,17;72,47;13,600;77,16;80,65;77,24
13,650;73,71;75,17;72,46;13,650;77,16;80,64;77,24
13,700;73,71;75,17;72,46;13,700;77,16;80,64;77,24
13,750;73,71;75,16;72,46;13,750;77,16;80,64;77,23
13,800;73,71;75,16;72,46;13,800;77,16;80,64;77,23
13,850;73,71;75,16;72,47;13,850;77,16;80,65;77,23
13,900;73,71;75,17;72,46;13,900;77,15;80,64;77,23
13,950;73,71;75,17;72,46;13,950;77,15;80,64;77,23
14,000;73,71;75,16;72,46;14,000;77,15;80,64;77,23
14,050;73,70;75,16;72,46;14,050;77,15;80,64;77,23
14,100;73,71;75,16;72,46;14,100;77,15;80,65;77,23
14,150;73,71;75,16;72,46;14,150;77,15;80,64;77,23
14,200;73,70;75,16;72,46;14,200;77,15;80,65;77,23
14,250;73,71;75,16;72,46;14,250;77,14;80,64;77,23
14,300;73,70;75,16;72,45;14,300;77,15;80,65;77,22
14,350;73,70;75,16;72,46;14,350;77,14;80,64;77,22
14,400;73,70;75,16;72,45;14,400;77,14;80,65;77,22
14,450;73,70;75,16;72,45;14,450;77,14;80,65;77,23
14,500;73,70;75,15;72,45;14,500;77,14;80,65;77,22
14,550;73,70;75,16;72,45;14,550;77,14;80,64;77,22
14,600;73,70;75,15;72,45;14,600;77,13;80,65;77,22
14,650;73,70;75,15;72,45;14,650;77,13;80,65;77,22
14,700;73,70;75,15;72,45;14,700;77,13;80,64;77,22
14,750;73,69;75,15;72,45;14,750;77,13;80,65;77,22
14,800;73,69;75,15;72,45;14,800;77,13;80,64;77,22
14,850;73,69;75,16;72,45;14,850;77,12;80,65;77,22
14,900;73,70;75,15;72,45;14,900;77,12;80,65;77,22
14,950;73,69;75,16;72,45;14,950;77,12;80,65;77,22
15,000;73,69;75,15;72,44;15,000;77,12;80,65;77,22
15,050;73,69;75,15;72,44;15,050;77,12;80,65;77,22
15,100;73,69;75,15;72,44;15,100;77,12;80,65;77,21
15,150;73,69;75,16;72,44;15,150;77,12;80,65;77,21
15,200;73,69;75,15;72,44;15,200;77,12;80,65;77,21
15,250;73,69;75,15;72,44;15,250;77,12;80,65;77,21
15,300;73,69;75,15;72,44;15,300;77,12;80,65;77,21
15,350;73,68;75,15;72,44;15,350;77,11;80,65;77,22
15,400;73,69;75,15;72,44;15,400;77,11;80,65;77,21
15,450;73,69;75,15;72,44;15,450;77,11;80,65;77,21
15,500;73,68;75,15;72,44;15,500;77,11;80,65;77,21
15,550;73,68;75,15;72,44;15,550;77,11;80,65;77,21
15,600;73,68;75,15;72,44;15,600;77,11;80,65;77,21
15,650;73,68;75,15;72,44;15,650;77,10;80,65;77,21
15,700;73,68;75,15;72,44;15,700;77,10;80,65;77,21
15,750;73,68;75,15;72,44;15,750;77,10;80,65;77,21
