"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
9,750;72,21;75,24;74,27;9,750;56,01;55,88;55,70;9,750;86,08;85,59;84,79
9,800;72,21;75,24;74,27;9,800;56,01;55,89;55,70;9,800;86,07;85,59;84,79
9,850;72,23;75,24;74,27;9,850;56,02;55,89;55,70;9,850;86,07;85,59;84,79
9,900;72,24;75,24;74,27;9,900;56,02;55,89;55,70;9,900;86,07;85,59;84,78
9,950;72,25;75,23;74,27;9,950;56,02;55,89;55,71;9,950;86,07;85,59;84,78
10,000;72,27;75,23;74,26;10,000;56,03;55,90;55,71;10,000;86,07;85,59;84,78
10,050;72,27;75,23;74,27;10,050;56,03;55,90;55,71;10,050;86,07;85,59;84,78
10,100;72,28;75,23;74,27;10,100;56,03;55,90;55,72;10,100;86,07;85,59;84,78
10,150;72,29;75,23;74,27;10,150;56,03;55,90;55,72;10,150;86,06;85,59;84,78
10,200;72,30;75,23;74,26;10,200;56,04;55,90;55,73;10,200;86,06;85,59;84,78
10,250;72,32;75,23;74,27;10,250;56,04;55,91;55,73;10,250;86,06;85,58;84,78
10,300;72,32;75,23;74,27;10,300;56,04;55,91;55,73;10,300;86,06;85,58;84,77
10,350;72,34;75,23;74,26;10,350;56,05;55,91;55,73;10,350;86,06;85,58;84,77
10,400;72,34;75,23;74,26;10,400;56,05;55,91;55,74;10,400;86,06;85,58;84,77
10,450;72,35;75,22;74,26;10,450;56,06;55,91;55,74;10,450;86,06;85,58;84,77
10,500;72,36;75,23;74,26;10,500;56,06;55,92;55,74;10,500;86,06;85,58;84,77
10,550;72,37;75,22;74,26;10,550;56,06;55,91;55,74;10,550;86,05;85,58;84,77
10,600;72,38;75,22;74,26;10,600;56,06;55,92;55,75;10,600;86,06;85,58;84,77
10,650;72,39;75,22;74,26;10,650;56,07;55,92;55,75;10,650;86,05;85,58;84,77
10,700;72,40;75,22;74,26;10,700;56,07;55,92;55,75;10,700;86,05;85,58;84,77
10,750;72,41;75,22;74,26;10,750;56,07;55,92;55,76;10,750;86,05;85,58;84,77
10,800;72,41;75,22;74,26;10,800;56,08;55,92;55,76;10,800;86,05;85,58;84,77
10,850;72,42;75,22;74,26;10,850;56,08;55,93;55,76;10,850;86,05;85,57;84,76
10,900;72,43;75,22;74,26;10,900;56,08;55,93;55,77;10,900;86,05;85,57;84,76
10,950;72,43;75,22;74,26;10,950;56,09;55,93;55,77;10,950;86,05;85,57;84,76
11,000;72,44;75,22;74,26;11,000;56,09;55,93;55,77;11,000;86,05;85,57;84,76
11,050;72,45;75,22;74,26;11,050;56,09;55,93;55,78;11,050;86,05;85,57;84,77
11,100;72,46;75,22;74,26;11,100;56,10;55,94;55,78;11,100;86,05;85,57;84,76
11,150;72,46;75,21;74,27;11,150;56,10;55,93;55,78;11,150;86,05;85,57;84,76
11,200;72,47;75,21;74,26;11,200;56,10;55,94;55,78;11,200;86,05;85,56;84,76
11,250;72,47;75,21;74,26;11,250;56,10;55,94;55,79;11,250;86,05;85,56;84,76
11,300;72,48;75,21;74,26;11,300;56,11;55,94;55,79;11,300;86,05;85,56;84,76
11,350;72,48;75,21;74,26;11,350;56,11;55,94;55,79;11,350;86,05;85,56;84,76
11,400;72,49;75,21;74,26;11,400;56,11;55,94;55,79;11,400;86,05;85,56;84,76
11,450;72,49;75,21;74,26;11,450;56,12;55,95;55,80;11,450;86,04;85,56;84,76
11,500;72,50;75,21;74,26;11,500;56,12;55,95;55,80;11,500;86,05;85,56;84,76
11,550;72,50;75,21;74,26;11,550;56,12;55,95;55,80;11,550;86,05;85,55;84,76
11,600;72,51;75,21;74,26;11,600;56,12;55,95;55,81;11,600;86,05;85,55;84,75
11,650;72,51;75,21;74,26;11,650;56,13;55,96;55,80;11,650;86,05;85,55;84,75
11,700;72,52;75,21;74,25;11,700;56,13;55,95;55,81;11,700;86,04;85,55;84,75
11,750;72,52;75,21;74,26;11,750;56,14;55,96;55,81;11,750;86,05;85,55;84,75
11,800;72,52;75,20;74,26;11,800;56,14;55,96;55,81;11,800;86,05;85,55;84,75
11,850;72,53;75,21;74,26;11,850;56,14;55,96;55,81;11,850;86,04;85,55;84,75
11,900;72,53;75,21;74,26;11,900;56,14;55,96;55,82;11,900;86,04;85,54;84,75
11,950;72,54;75,20;74,26;11,950;56,15;55,96;55,82;11,950;86,05;85,54;84,75
12,000;72,54;75,20;74,26;12,000;56,15;55,96;55,82;12,000;86,04;85,54;84,75
12,050;72,54;75,20;74,26;12,050;56,15;55,97;55,83;12,050;86,05;85,54;84,75
12,100;72,54;75,21;74,26;12,100;56,15;55,97;55,83;12,100;86,05;85,54;84,75
12,150;72,55;75,20;74,26;12,150;56,16;55,97;55,83;12,150;86,05;85,53;84,75
12,200;72,55;75,20;74,26;12,200;56,16;55,97;55,83;12,200;86,04;85,53;84,75
12,250;72,55;75,20;74,26;12,250;56,16;55,97;55,83;12,250;86,04;85,54;84,75
12,300;72,55;75,21;74,26;12,300;56,16;55,97;55,84;12,300;86,04;85,53;84,75
12,350;72,55;75,20;74,26;12,350;56,17;55,97;55,84;12,350;86,04;85,53;84,74
12,400;72,56;75,20;74,26;12,400;56,17;55,97;55,84;12,400;86,04;85,53;84,75
12,450;72,56;75,20;74,26;12,450;56,17;55,98;55,84;12,450;86,05;85,53;84,75
12,500;72,56;75,20;74,26;12,500;56,17;55,98;55,85;12,500;86,05;85,53;84,74
12,550;72,57;75,20;74,26;12,550;56,18;55,98;55,85;12,550;86,04;85,52;84,75
12,600;72,57;75,20;74,26;12,600;56,18;55,98;55,85;12,600;86,04;85,52;84,74
12,650;72,57;75,20;74,26;12,650;56,18;55,98;55,85;12,650;86,04;85,52;84,74
12,700;72,57;75,20;74,26;12,700;56,19;55,98;55,85;12,700;86,04;85,52;84,74
12,750;72,57;75,20;74,26;12,750;56,19;55,98;55,86;12,750;86,04;85,52;84,74
