"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
16,700;75,21;76,45;79,46
16,750;75,21;76,45;79,46
16,800;75,21;76,45;79,46
16,850;75,21;76,45;79,46
16,900;75,21;76,45;79,46
16,950;75,21;76,44;79,46
17,000;75,21;76,45;79,45
17,050;75,20;76,44;79,46
17,100;75,21;76,44;79,46
17,150;75,20;76,44;79,46
17,200;75,20;76,44;79,46
17,250;75,20;76,44;79,45
17,300;75,20;76,44;79,46
17,350;75,20;76,43;79,46
17,400;75,20;76,43;79,45
17,450;75,20;76,43;79,46
17,500;75,20;76,43;79,45
17,550;75,20;76,43;79,45
17,600;75,20;76,43;79,45
17,650;75,20;76,43;79,45
17,700;75,20;76,43;79,45
17,750;75,20;76,42;79,45
17,800;75,20;76,42;79,45
17,850;75,20;76,42;79,45
17,900;75,20;76,42;79,45
17,950;75,20;76,42;79,45
18,000;75,20;76,42;79,45
18,050;75,20;76,42;79,45
18,100;75,20;76,42;79,45
18,150;75,20;76,42;79,45
18,200;75,19;76,41;79,45
18,250;75,20;76,41;79,45
18,300;75,19;76,41;79,45
18,350;75,20;76,41;79,44
18,400;75,19;76,41;79,44
18,450;75,19;76,41;79,44
18,500;75,19;76,41;79,44
18,550;75,19;76,41;79,44
18,600;75,19;76,41;79,44
18,650;75,19;76,40;79,44
18,700;75,19;76,40;79,44
18,750;75,19;76,40;79,43
18,800;75,19;76,40;79,44
18,850;75,19;76,40;79,44
18,900;75,19;76,40;79,44
18,950;75,19;76,40;79,43
19,000;75,19;76,40;79,43
19,050;75,19;76,40;79,43
19,100;75,19;76,40;79,43
19,150;75,19;76,39;79,43
19,200;75,19;76,39;79,43
19,250;75,19;76,39;79,43
19,300;75,19;76,39;79,42
19,350;75,19;76,39;79,42
19,400;75,19;76,39;79,42
19,450;75,19;76,39;79,42
19,500;75,19;76,39;79,42
19,550;75,19;76,39;79,42
19,600;75,19;76,39;79,41
19,650;75,19;76,38;79,41
19,700;75,19;76,38;79,41
19,750;75,19;76,38;79,41
19,800;75,19;76,38;79,41
19,850;75,19;76,38;79,41
19,900;75,19;76,38;79,41
19,950;75,19;76,38;79,40
20,000;75,19;76,38;79,40
20,050;75,18;76,38;79,40
20,100;75,19;76,38;79,40
20,150;75,19;76,38;79,40
20,200;75,19;76,38;79,40
20,250;75,19;76,38;79,39
20,300;75,18;76,38;79,39
20,350;75,19;76,38;79,39
20,400;75,18;76,37;79,39
20,450;75,18;76,38;79,39
20,500;75,18;76,38;79,39
20,550;75,19;76,37;79,38
20,600;75,18;76,37;79,38
20,650;75,18;76,37;79,38
20,700;75,18;76,37;79,38
20,750;75,18;76,37;79,38
20,800;75,18;76,37;79,38
20,850;75,18;76,37;79,38
20,900;75,18;76,37;79,38
20,950;75,18;76,37;79,37
21,000;75,18;76,37;79,37
21,050;75,18;76,37;79,37
21,100;75,18;76,37;79,37
21,150;75,18;76,36;79,37
21,200;75,18;76,36;79,37
21,250;75,18;76,36;79,37
21,300;75,18;76,36;79,37
21,350;75,18;76,36;79,36
21,400;75,18;76,36;79,36
21,450;75,17;76,36;79,36
21,500;75,18;76,36;79,36
21,550;75,18;76,36;79,36
21,600;75,18;76,36;79,36
21,650;75,18;76,36;79,36
21,700;75,18;76,36;79,35
21,750;75,18;76,36;79,36
21,800;75,18;76,35;79,35
21,850;75,18;76,36;79,35
21,900;75,18;76,35;79,35
21,950;75,17;76,36;79,35
22,000;75,17;76,35;79,35
22,050;75,17;76,35;79,35
22,100;75,17;76,35;79,34
22,150;75,17;76,35;79,34
22,200;75,17;76,35;79,35
22,250;75,17;76,35;79,34
22,300;75,17;76,35;79,34
22,350;75,17;76,35;79,34
22,400;75,17;76,35;79,34
22,450;75,17;76,35;79,34
22,500;75,17;76,35;79,34
22,550;75,16;76,35;79,34
22,600;75,17;76,35;79,34
22,650;75,16;76,35;79,34
22,700;75,16;76,35;79,34
22,750;75,16;76,35;79,33
22,800;75,16;76,34;79,33
22,850;75,17;76,34;79,33
22,900;75,16;76,34;79,33
22,950;75,16;76,34;79,33
23,000;75,16;76,34;79,33
23,050;75,16;76,34;79,33
23,100;75,16;76,34;79,33
23,150;75,16;76,34;79,33
23,200;75,16;76,34;79,33
23,250;75,16;76,34;79,32
23,300;75,16;76,33;79,32
23,350;75,16;76,34;79,32
23,400;75,16;76,34;79,32
23,450;75,15;76,33;79,32
23,500;75,15;76,33;79,32
23,550;75,15;76,33;79,32
23,600;75,15;76,33;79,31
23,650;75,15;76,33;79,31
23,700;75,15;76,33;79,31
23,750;75,15;76,33;79,31
23,800;75,15;76,33;79,31
23,850;75,15;76,33;79,31
23,900;75,15;76,33;79,31
23,950;75,15;76,32;79,31
24,000;75,15;76,32;79,30
24,050;75,15;76,32;79,30
24,100;75,15;76,32;79,30
24,150;75,15;76,32;79,30
24,200;75,15;76,32;79,30
24,250;75,15;76,32;79,30
24,300;75,15;76,32;79,30
24,350;75,15;76,31;79,29
24,400;75,15;76,31;79,29
24,450;75,14;76,31;79,29
24,500;75,14;76,31;79,29
24,550;75,14;76,31;79,29
24,600;75,14;76,31;79,29
24,650;75,14;76,31;79,29
24,700;75,14;76,31;79,29
24,750;75,14;76,31;79,28
24,800;75,14;76,30;79,28
24,850;75,14;76,30;79,29
24,900;75,14;76,30;79,28
24,950;75,14;76,30;79,28
25,000;75,13;76,30;79,28
25,050;75,13;76,30;79,28
25,100;75,14;76,30;79,28
25,150;75,13;76,29;79,28
25,200;75,13;76,29;79,27
25,250;75,13;76,29;79,28
25,300;75,13;76,29;79,27
25,350;75,13;76,29;79,27
25,400;75,13;76,29;79,27
25,450;75,13;76,29;79,27
25,500;75,13;76,29;79,27
25,550;75,13;76,29;79,27
25,600;75,13;76,28;79,27
25,650;75,13;76,28;79,26
25,700;75,13;76,28;79,26
25,750;75,13;76,28;79,26
25,800;75,13;76,28;79,26
25,850;75,13;76,28;79,26
25,900;75,13;76,27;79,26
25,950;75,12;76,27;79,26
26,000;75,12;76,27;79,26
26,050;75,12;76,27;79,25
26,100;75,12;76,27;79,25
26,150;75,12;76,27;79,25
26,200;75,12;76,27;79,25
26,250;75,12;76,26;79,25
26,300;75,11;76,26;79,25
26,350;75,12;76,26;79,25
26,400;75,11;76,25;79,25
26,450;75,12;76,25;79,24
26,500;75,11;76,25;79,24
26,550;75,11;76,25;79,24
26,600;75,11;76,25;79,24
26,650;75,11;76,25;79,24
26,700;75,11;76,25;79,24
26,750;75,11;76,24;79,24
