"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
15,450;79,69;80,40;78,78;15,450;80,81;78,89;77,83
15,500;79,69;80,40;78,76;15,500;80,81;78,90;77,83
15,550;79,68;80,40;78,73;15,550;80,81;78,89;77,83
15,600;79,68;80,39;78,70;15,600;80,81;78,90;77,84
15,650;79,68;80,39;78,67;15,650;80,81;78,90;77,84
15,700;79,67;80,38;78,65;15,700;80,81;78,90;77,84
15,750;79,68;80,38;78,62;15,750;80,81;78,90;77,84
15,800;79,67;80,38;78,60;15,800;80,81;78,90;77,85
15,850;79,67;80,37;78,57;15,850;80,81;78,90;77,84
15,900;79,66;80,37;78,54;15,900;80,81;78,90;77,85
15,950;79,66;80,37;78,52;15,950;80,81;78,90;77,85
16,000;79,66;80,36;78,49;16,000;80,80;78,90;77,85
16,050;79,66;80,36;78,47;16,050;80,81;78,90;77,85
16,100;79,66;80,36;78,45;16,100;80,81;78,90;77,86
16,150;79,65;80,35;78,43;16,150;80,81;78,90;77,86
16,200;79,66;80,35;78,40;16,200;80,80;78,90;77,86
16,250;79,65;80,35;78,38;16,250;80,80;78,90;77,86
16,300;79,65;80,34;78,36;16,300;80,81;78,90;77,86
16,350;79,65;80,33;78,34;16,350;80,81;78,90;77,86
16,400;79,65;80,33;78,32;16,400;80,81;78,90;77,87
16,450;79,65;80,33;78,30;16,450;80,80;78,90;77,87
16,500;79,65;80,33;78,28;16,500;80,81;78,90;77,87
16,550;79,65;80,32;78,26;16,550;80,80;78,90;77,87
16,600;79,65;80,32;78,24;16,600;80,81;78,90;77,87
16,650;79,65;80,32;78,22;16,650;80,80;78,90;77,88
16,700;79,65;80,31;78,20;16,700;80,81;78,91;77,88
16,750;79,65;80,31;78,18;16,750;80,81;78,90;77,88
16,800;79,65;80,31;78,16;16,800;80,81;78,90;77,88
16,850;79,65;80,31;78,15;16,850;80,81;78,90;77,88
16,900;79,65;80,31;78,13;16,900;80,81;78,91;77,89
16,950;79,65;80,31;78,12;16,950;80,80;78,90;77,89
17,000;79,65;80,32;78,09;17,000;80,81;78,90;77,89
17,050;79,65;80,32;78,08;17,050;80,81;78,90;77,89
17,100;79,65;80,32;78,07;17,100;80,80;78,90;77,90
17,150;79,65;80,32;78,05;17,150;80,81;78,90;77,90
17,200;79,65;80,32;78,03;17,200;80,81;78,90;77,90
17,250;79,66;80,32;78,01;17,250;80,81;78,90;77,90
17,300;79,65;80,33;78,00;17,300;80,81;78,90;77,91
17,350;79,65;80,33;77,99;17,350;80,81;78,90;77,91
17,400;79,66;80,33;77,97;17,400;80,81;78,90;77,91
17,450;79,66;80,33;77,96;17,450;80,81;78,90;77,91
17,500;79,66;80,33;77,94;17,500;80,81;78,90;77,91
17,550;79,66;80,33;77,93;17,550;80,81;78,90;77,92
17,600;79,66;80,33;77,92;17,600;80,81;78,90;77,92
17,650;79,66;80,33;77,90;17,650;80,81;78,90;77,92
